ID,Abbr_D,Abbr_F,Abbr_E,Abbr_R,Abbr_I,Legend_D,Legend_F,Legend_E,Legend_R,Legend_I,Name_D,Name_F,Name_E,Name_R,Name_I,Sortorder,OLD_ID
2,CVP,PDC,CVP,PCD,PPD,CVP,PDC,CVP,PCD,PPD,Christlichdemokratische Volkspartei der Schweiz,Parti démocrate-chrétien suisse,Christian Democratic People's Party of Switzerland,Partida cristiandemocratica svizra,Partito popolare democratico svizerro,1,2
1,FDP,PLR,FDP,PLD,PLR,FDP (inklusive LPS),PLR (avec PLS),FDP (including LPS),PLD (cumprais PLS),PLR (compreso PLS),Freisinnig-Demokratische Partei der Schweiz (inklusive LPS),Parti libéral-radical suisse (avec PLS),Free Democratic Party of Switzerland (including LPS),Partida liberaldemocratica svizra (cumprais PLS),Partito liberale radicale svizzero (compreso PLS),2,"1, 5"
4,SVP,UDC,SVP,PPS,UDC,SVP,UDC,SVP,PPS,UDC,Schweizerische Volkspartei,Union démocratique du centre,Swiss People's Party,Partida populara svizra,Unione democratica di centro,3,4
3,SP,PS,SP,PS,PS,SP,PS,SP,PS,PS,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Social Democratic Party of Switzerland,Partida socialdemocratica,Partito socialista svizzero,4,3
13,GPS,PES,GPS,PES,PES,GPS,PES,GPS,PES,PES,Grüne Partei der Schweiz,Les verts – Parti écologiste suisse,Green Party of Switzerland,Partida ecologica svizra,I Verdi – Partito ecologista svizzero,5,13
31,GLP,PVL,GLP,PVL,PVL,GLP,PVL,GLP,PVL,PVL,Grünliberale Partei Schweiz,Parti vert'libéral suisse,Green Liberal Party of Switzerland,Partida verd-liberala svizra,Partito verde liberale svizzero,6,31
32,BDP,PBD,BDP,PBD,PBD,BDP,PBD,BDP,PBD,PBD,Bürgerlich-Demokratische Partei Schweiz,Parti bourgeois démocratique suisse,Conservative Democratic Party of Switzerland,Partida burgais-democratica svizra,Partito borghese-democratico svizerro,7,32
7,EVP,PEV,EVP,PEV,PEV,EVP,PEV,EVP,PEV,PEV,Evangelische Volkspartei der Schweiz,Parti évangélique suisse,Evangelical People's Party of Switzerland,Partida evangelica svizra,Partito evangelico svizzero,8,7
18,Lega,Lega,Lega,Lega,Lega,Lega,Lega,Lega,Lega,Lega,Lega dei ticinesi,Lega dei ticinesi,Lega dei ticinesi,Lega dei ticinesi,Lega dei ticinesi,9,18
16,Kleine Rechtsparteien,Divers droite,Small right-wing parties,Pitschnas partidas da la dretga,Piccoli partiti di destra,"Kleine Rechtsparteien (EDU, SD, Rep., FPS)","Divers droite (UDF, DS, Rep., PA)","Small right-wing parties (EDU, SD, Rep., FPS)","Pitschnas partidas da la dretga (UDF, DS, Rep., PSL)","Piccoli partiti di destra (UDF, PSL, Rep., DS)","Kleine Rechtsparteien (EDU, SD, Rep., FPS)","Divers droite (UDF, DS, Rep., PA)","Small right-wing parties (EDU, SD, Rep., FPS)","Pitschnas partidas da la dretga (UDF, DS, Rep., PSL)","Piccoli partiti di destra (UDF, PSL, Rep., DS)",10,"16, 15, 14, 17"
9,Kleine Linksparteien,Divers gauche,Small left-wing parties ,Pitschnas partidas da la sanestra,Piccoli partiti di sinistra,"Kleine Linksparteien (PdA, Sol., PSA, POCH, FGA)","Divers gauche (POP, Sol., AdG, POCH, FGA)","Small left-wing parties (PdA, Sol., PSA, POCH, FGA)","Pitschnas partidas da la sanestra (PdL, Sol., PSA, POCH, AVF)","Piccoli partiti di sinistra (PdL, Sol, AL, POCH, LS)","Kleine Linksparteien (PdA, Sol., PSA, POCH, FGA)","Divers gauche (POP, Sol., AdG, POCH, FGA)","Small left-wing parties (PdA, Sol., PSA, POCH, FGA)","Pitschnas partidas da la sanestra (PdL, Sol., PSA, POCH, AVF)","Piccoli partiti di sinistra (PdL, Sol, AL, POCH, LS)",11,"9, 27, 10, 11, 12"
8,Andere,Autres,Others,Autras,Altri,"Andere (CSP, Sep., LdU, MCR, Übrige)","Autres (PCS, Sep., Adl, MCR, divers)","Others (CSP, Sep., LdU, MCR, etc.)","Autras (PCS, Sep., AdI, MCR, ulteriuras)","Altri (PCS, Sep., AdI, MCG, ecc.)","Andere (CSP, Sep., LdU, MCR, Übrige)","Autres (PCS, Sep., Adl, MCR, divers)","Others (CSP, Sep., LdU, MCR, etc.)","Autras (PCS, Sep., AdI, MCR, ulteriuras)","Altri (PCS, Sep., AdI, MCG, ecc.)",12,"8, 6, 26, 35, 33"
