sprachreg;Jahr;dim;wert
D;1981;21;-1.09
D;1981;22;1.20
F;1981;21;4.54
F;1981;22;-2.83
I;1981;21;3.60
I;1981;22;-11.50
R;1981;21;-1.08
R;1981;22;5.03
D;1982;21;-1.07
D;1982;22;1.23
F;1982;21;4.50
F;1982;22;-2.91
I;1982;21;3.55
I;1982;22;-11.62
R;1982;21;-1.12
R;1982;22;4.95
D;1983;21;-1.07
D;1983;22;1.27
F;1983;21;4.48
F;1983;22;-2.99
I;1983;21;3.42
I;1983;22;-11.72
R;1983;21;-1.23
R;1983;22;4.91
D;1984;21;-1.07
D;1984;22;1.30
F;1984;21;4.51
F;1984;22;-3.06
I;1984;21;3.12
I;1984;22;-11.77
R;1984;21;-1.42
R;1984;22;4.87
D;1985;21;-1.08
D;1985;22;1.33
F;1985;21;4.60
F;1985;22;-3.15
I;1985;21;2.63
I;1985;22;-11.76
R;1985;21;-1.70
R;1985;22;4.86
D;1986;21;-1.10
D;1986;22;1.36
F;1986;21;4.75
F;1986;22;-3.24
I;1986;21;1.90
I;1986;22;-11.68
R;1986;21;-2.08
R;1986;22;4.82
D;1987;21;-1.13
D;1987;22;1.40
F;1987;21;4.97
F;1987;22;-3.35
I;1987;21;0.99
I;1987;22;-11.51
R;1987;21;-2.53
R;1987;22;4.75
D;1988;21;-1.17
D;1988;22;1.45
F;1988;21;5.22
F;1988;22;-3.52
I;1988;21;-0.05
I;1988;22;-11.28
R;1988;21;-2.98
R;1988;22;4.64
D;1989;21;-1.20
D;1989;22;1.51
F;1989;21;5.46
F;1989;22;-3.73
I;1989;21;-1.07
I;1989;22;-10.95
R;1989;21;-3.37
R;1989;22;4.46
D;1990;21;-1.23
D;1990;22;1.60
F;1990;21;5.64
F;1990;22;-4.07
I;1990;21;-1.94
I;1990;22;-10.56
R;1990;21;-3.64
R;1990;22;4.24
D;1991;21;-1.24
D;1991;22;1.73
F;1991;21;5.76
F;1991;22;-4.52
I;1991;21;-2.61
I;1991;22;-10.16
R;1991;21;-3.78
R;1991;22;3.99
D;1992;21;-1.24
D;1992;22;1.90
F;1992;21;5.80
F;1992;22;-5.13
I;1992;21;-3.09
I;1992;22;-9.79
R;1992;21;-3.81
R;1992;22;3.73
D;1993;21;-1.22
D;1993;22;2.10
F;1993;21;5.74
F;1993;22;-5.84
I;1993;21;-3.45
I;1993;22;-9.48
R;1993;21;-3.74
R;1993;22;3.50
D;1994;21;-1.18
D;1994;22;2.31
F;1994;21;5.61
F;1994;22;-6.60
I;1994;21;-3.70
I;1994;22;-9.25
R;1994;21;-3.62
R;1994;22;3.34
D;1995;21;-1.13
D;1995;22;2.52
F;1995;21;5.43
F;1995;22;-7.36
I;1995;21;-3.92
I;1995;22;-9.11
R;1995;21;-3.48
R;1995;22;3.26
D;1996;21;-1.07
D;1996;22;2.71
F;1996;21;5.21
F;1996;22;-8.04
I;1996;21;-4.14
I;1996;22;-9.00
R;1996;21;-3.34
R;1996;22;3.23
D;1997;21;-1.01
D;1997;22;2.87
F;1997;21;4.96
F;1997;22;-8.62
I;1997;21;-4.42
I;1997;22;-8.94
R;1997;21;-3.22
R;1997;22;3.22
D;1998;21;-0.95
D;1998;22;3.00
F;1998;21;4.73
F;1998;22;-9.07
I;1998;21;-4.75
I;1998;22;-8.87
R;1998;21;-3.11
R;1998;22;3.22
D;1999;21;-0.89
D;1999;22;3.10
F;1999;21;4.54
F;1999;22;-9.41
I;1999;21;-5.14
I;1999;22;-8.81
R;1999;21;-3.05
R;1999;22;3.22
D;2000;21;-0.85
D;2000;22;3.17
F;2000;21;4.41
F;2000;22;-9.63
I;2000;21;-5.58
I;2000;22;-8.70
R;2000;21;-2.99
R;2000;22;3.21
D;2001;21;-0.83
D;2001;22;3.21
F;2001;21;4.34
F;2001;22;-9.76
I;2001;21;-6.03
I;2001;22;-8.56
R;2001;21;-2.93
R;2001;22;3.21
D;2002;21;-0.82
D;2002;22;3.23
F;2002;21;4.32
F;2002;22;-9.78
I;2002;21;-6.49
I;2002;22;-8.36
R;2002;21;-2.83
R;2002;22;3.24
D;2003;21;-0.82
D;2003;22;3.22
F;2003;21;4.34
F;2003;22;-9.73
I;2003;21;-6.92
I;2003;22;-8.07
R;2003;21;-2.67
R;2003;22;3.33
D;2004;21;-0.82
D;2004;22;3.18
F;2004;21;4.39
F;2004;22;-9.57
I;2004;21;-7.29
I;2004;22;-7.69
R;2004;21;-2.43
R;2004;22;3.50
D;2005;21;-0.83
D;2005;22;3.12
F;2005;21;4.43
F;2005;22;-9.32
I;2005;21;-7.61
I;2005;22;-7.17
R;2005;21;-2.08
R;2005;22;3.77
D;2006;21;-0.84
D;2006;22;3.02
F;2006;21;4.47
F;2006;22;-8.97
I;2006;21;-7.84
I;2006;22;-6.54
R;2006;21;-1.65
R;2006;22;4.13
D;2007;21;-0.85
D;2007;22;2.89
F;2007;21;4.50
F;2007;22;-8.55
I;2007;21;-7.98
I;2007;22;-5.80
R;2007;21;-1.11
R;2007;22;4.56
D;2008;21;-0.86
D;2008;22;2.74
F;2008;21;4.51
F;2008;22;-8.07
I;2008;21;-8.02
I;2008;22;-5.00
R;2008;21;-0.50
R;2008;22;4.99
D;2009;21;-0.87
D;2009;22;2.58
F;2009;21;4.51
F;2009;22;-7.59
I;2009;21;-7.97
I;2009;22;-4.21
R;2009;21;0.14
R;2009;22;5.38
D;2010;21;-0.89
D;2010;22;2.42
F;2010;21;4.51
F;2010;22;-7.14
I;2010;21;-7.83
I;2010;22;-3.49
R;2010;21;0.74
R;2010;22;5.68
D;2011;21;-0.90
D;2011;22;2.28
F;2011;21;4.50
F;2011;22;-6.76
I;2011;21;-7.66
I;2011;22;-2.86
R;2011;21;1.26
R;2011;22;5.88
D;2012;21;-0.93
D;2012;22;2.17
F;2012;21;4.51
F;2012;22;-6.44
I;2012;21;-7.50
I;2012;22;-2.37
R;2012;21;1.68
R;2012;22;5.99
D;2013;21;-0.96
D;2013;22;2.08
F;2013;21;4.54
F;2013;22;-6.19
I;2013;21;-7.34
I;2013;22;-1.98
R;2013;21;1.97
R;2013;22;6.02
D;2014;21;-0.99
D;2014;22;2.01
F;2014;21;4.59
F;2014;22;-6.01
I;2014;21;-7.23
I;2014;22;-1.72
R;2014;21;2.16
R;2014;22;6.01
